id,name,associated_reactions
G_STM0685,nagE,[]
G_STM1203,ptsG,[]
G_STM4122,argB,[]
G_STM1473,ompN,[]
G_STM2992,argA,[]
G_STM0999,ompF,[]
G_STM3901,ilvG,[]
G_STM3795,ilvN,[]
G_STM3796,ilvB,[]
G_STM3902,ilvM,[]
G_STM2337,ackA,[]
G_STM3242,tdcD,[]
G_STM2267,ompC,[]
G_STM0320,phoE,[]
G_STM2037,pduF,[]
G_STM0066,carA,[]
G_STM0067,carB,[]
G_STM1883,purT,[]
G_STM3929,wecG,[]
G_STM3576,zntA,[]
G_STM1832,manZ,[]
G_STM0758,ybgR,[]
G_STM4061,yiiP,[]
G_STM3190,ygiE,[]
G_STM4064,ushB,[]
G_STM4227,malG,[]
G_STM4228,malF,[]
G_STM4230,malK,[]
G_STM4229,malE,[]
G_STM4231,lamB,[]
G_STM4403,cpdB,[]
G_STM1831,manY,[]
G_STM1830,manX,[]
G_STM3338,nanT,[]
G_STM3009,ygeD,[]
G_STM3010,aas,[]
G_STM1779,ipk,[]
G_STM3339,nanA,[]
G_STM0309,yafH,[]
G_STM1427,cfa,[]
G_STM3646,yiaE,[]
G_STM1193,fabH,[]
G_STM4120,argE,[]
G_STM1712,acnA,[]
G_STM0457,cof,[]
G_STM2164,yehY,[]
G_STM0158,acnB,[]
G_STM2162,yehW,[]
G_STM2165,yehZ,[]
G_STM2163,yehX,[]
G_STM1235,ymfB,[]
G_STM3468,argD,[]
G_STM0227,fabZ,[]
G_STM1303,astC,[]
G_STM1067,fabA,[]
G_STM2384,aroC,[]
G_STM2577,acpS,[]
G_STM3674,lyxK,[]
G_STM3583,acpT,[]
G_STM4233,ubiC,[]
G_STM2645,yfiK,[]
G_STM2927,surE,[]
G_STM0623,citD,[]
G_STM1517,ydeD,[]
G_STM1195,fabG,[]
G_STM4273,yjcG,[]
G_STM2378,fabB,[]
G_STM0060,citE2,[]
G_STM0061,citF2,[]
G_STM1197,fabF,[]
G_STM1463,add,[]
G_STM0622,citE,[]
G_STM0059,citD2,[]
G_STM0621,citF,[]
G_STM1198,pabC,[]
G_STM1743,oppD,[]
G_STM3469,pabA,[]
G_STM1742,oppF,[]
G_STM0620,citX,[]
G_STM0618,citT,[]
G_STM1824,pabB,[]
G_STM1739,cls,[]
G_STM1745,oppB,[]
G_STM1744,oppC,[]
G_STM3747,yicE,[]
G_STM0812,ybhO,[]
G_STM1679,mppA,[]
G_STM0488,adk,[]
G_STM0165,speD,[]
G_STM1800,ycgQ,[]
G_STM1490,STM1490,[]
G_STM3939,cyaA,[]
G_STM0203,yadQ,[]
G_STM0051,rihC,[]
G_STM4483,idnO,[]
G_STM2409,nupC,[]
G_STM4482,idnT,[]
G_STM3952,corA,[]
G_STM3113,nupG,[]
G_STM0984,msbA,[]
G_STM0207,pfs,[]
G_STM2421,xapB,[]
G_STM0413,tsx,[]
G_STM3315,yrbH,[]
G_STM1196,acpP,[]
G_STM1204,fhuE,[]
G_STM1342,btuD,[]
G_STM2451,hemF,[]
G_STM1340,btuC,[]
G_STM1963,amyA,[]
G_STM0206,btuF,[]
G_STM4004,hemN,[]
G_STM3158,exbD,[]
G_STM3664,malS,[]
G_STM3159,exbB,[]
G_STM0072,caiB,[]
G_STM0071,caiC,[]
G_STM1737,tonB,[]
G_STM0070,caiD,[]
G_STM2792,gabT,[]
G_STM4130,btuB,[]
G_STM1597,ydcW,[]
G_STM3185,yqiE,[]
G_STM2793,gabP,[]
G_STM0483,apt,[]
G_STM1749,adhE,[]
G_STM2811,proX,[]
G_STM2933,cysC,[]
G_STM2809,proV,[]
G_STM2810,proW,[]
G_STM1232,purB,[]
G_STM2463,eutE,[]
G_STM4366,purA,[]
G_STM4290,proP,[]
G_STM0074,caiT,[]
G_STM0683,nagA,[]
G_STM0146,ampD,[]
G_STM0730,gltA,[]
G_STM2991,amiC,[]
G_STM2450,amiA,[]
G_STM2953,pyrG,[]
G_STM0168,cueO,[]
G_s0001,s0001,[]
G_STM4358,amiB,[]
G_STM1209,nagZ,[]
G_STM2018,cobU,[]
G_STM0498,copA,[]
G_STM0444,ampG,[]
G_STM3710,rfaD,[]
G_STM0353,STM0353,[]
G_STM0232,accA,[]
G_STM3078,speB,[]
G_STM3379,accB,[]
G_STM3525,glpE,[]
G_STM3173,plsC,[]
G_STM1686,pspE,[]
G_STM3380,accC,[]
G_STM4121,argC,[]
G_STM2366,accD,[]
G_STM3161,metC,[]
G_STM4176,purH,[]
G_STM4275,acs,[]
G_STM0533,purK,[]
G_STM2430,cysK,[]
G_STM0534,purE,[]
G_STM0371,prpE,[]
G_STM0154,lpdA,[]
G_STM1220,ycfX,[]
