organism_name,oxygen_labile_count
iAPECO1_1312,4
iB21_1397,4
iBWG_1329,4
ic_1306,4
iE2348C_1286,4
iEC042_1314,4
iEC55989_1330,4
iECABU_c1320,4
iECB_1328,4
iECBD_1354,4
iECD_1391,4
iEcDH1_1363,4
iECDH10B_1368,4
iECDH1ME8569_1439,4
iEcE24377_1341,4
iECED1_1282,4
iECH74115_1262,4
iEcHS_1320,4
iECIAI1_1343,4
iECIAI39_1322,4
iECNA114_1301,4
iECO103_1326,4
iECO111_1330,4
iECO26_1355,4
iECOK1_1307,4
iEcolC_1368,4
iECP_1309,4
iECs_1301,4
iECS88_1305,4
iECSE_1348,4
iECSF_1327,4
iEcSMS35_1347,4
iECSP_1301,4
iECUMN_1333,4
iECW_1372,4
iEKO11_1354,4
iETEC_1333,4
iG2583_1286,4
iJB785,4
iLF82_1304,4
iNRG857_1313,4
iS_1188,4
iSbBS512_1146,4
iSBO_1134,4
iSDY_1059,4
iSF_1195,4
iSFV_1184,4
iSFxv_1172,4
iSSON_1240,4
iUMN146_1321,4
iUMNK88_1353,4
iUTI89_1310,4
iWFL_1372,4
iY75_1357,4
iYS1720,4
iZ_1308,4
STM_v1_0,4
e_coli_core,3
iAF1260,3
iAF1260b,3
iAF692,3
iAF987,3
iCN718,3
iCN900,3
iEC1344_C,3
iEC1349_Crooks,3
iEC1356_Bl21DE3,3
iEC1364_W,3
iEC1368_DH5a,3
iEC1372_W3110,3
iEK1008,3
iHN637,3
iIT341,3
iJN678,3
iJN746,3
iJO1366,3
iJR904,3
iLJ478,3
iML1515,3
iNF517,3
iNJ661,3
iPC815,3
iSB619,3
iSynCJ816,3
iYL1228,3
iYO844,3
iYS854,3
iAM_Pb448,2
iAM_Pc455,2
iAM_Pf480,2
iAM_Pk459,2
iAM_Pv461,2
iAT_PLT_636,2
iCHOv1,2
iIS312,2
iIS312_Amastigote,2
iIS312_Epimastigote,2
iIS312_Trypomastigote,2
iJN1463,2
iLB1027_lipid,2
iMM1415,2
iMM904,2
iND750,2
RECON1,2
Recon3D,2
iAB_RBC_283,1
iCHOv1_DG44,1
iRC1080,1
