organism_name,krebs_coverage_percent
e_coli_core,80
iAF1260,100
iAF1260b,100
iAPECO1_1312,100
iB21_1397,100
iBWG_1329,100
ic_1306,100
iCN900,80
iE2348C_1286,100
iEC042_1314,100
iEC1344_C,100
iEC1349_Crooks,100
iEC1356_Bl21DE3,100
iEC1364_W,100
iEC1368_DH5a,100
iEC1372_W3110,100
iEC55989_1330,100
iECABU_c1320,100
iECB_1328,100
iECBD_1354,100
iECD_1391,100
iEcDH1_1363,100
iECDH10B_1368,100
iECDH1ME8569_1439,100
iEcE24377_1341,100
iECED1_1282,100
iECH74115_1262,80
iEcHS_1320,100
iECIAI1_1343,100
iECIAI39_1322,100
iECNA114_1301,100
iECO103_1326,100
iECO111_1330,100
iECO26_1355,100
iECOK1_1307,100
iEcolC_1368,100
iECP_1309,100
iECs_1301,100
iECS88_1305,100
iECSE_1348,100
iECSF_1327,100
iEcSMS35_1347,100
iECSP_1301,100
iECUMN_1333,100
iECW_1372,100
iEK1008,100
iEKO11_1354,100
iETEC_1333,100
iG2583_1286,80
iHN637,80
iJN1463,80
iJN746,80
iJO1366,100
iJR904,100
iLF82_1304,100
iLJ478,80
iML1515,100
iNF517,80
iNJ661,100
iNRG857_1313,100
iPC815,80
iS_1188,80
iSB619,80
iSbBS512_1146,80
iSBO_1134,80
iSDY_1059,80
iSF_1195,80
iSFV_1184,80
iSFxv_1172,80
iSSON_1240,80
iUMN146_1321,100
iUMNK88_1353,100
iUTI89_1310,100
iWFL_1372,100
iY75_1357,100
iYL1228,100
iYS1720,100
iYS854,80
iZ_1308,100
STM_v1_0,100
