organism_id,organism_name,atp_rxns,total_rxns,pct_atp_rxns
76,iLJ478,162,652,24.85
63,iIS312,122,518,23.55
64,iIS312_Amastigote,122,518,23.55
65,iIS312_Epimastigote,122,518,23.55
66,iIS312_Trypomastigote,122,518,23.55
5,iAF692,160,690,23.19
87,iSB619,167,743,22.48
20,iCN900,179,827,21.64
6,iAF987,274,1285,21.32
102,iYO844,252,1250,20.16
81,iNF517,151,752,20.08
68,iJB785,162,849,19.08
62,iHN637,149,785,18.98
82,iNJ661,189,1025,18.44
70,iJN678,159,863,18.42
19,iCN718,155,855,18.13
67,iIT341,96,554,17.33
2,iAB_RBC_283,81,469,17.27
73,iJR904,184,1075,17.12
95,iSynCJ816,177,1044,16.95
58,iEK1008,198,1177,16.82
104,iYS854,235,1421,16.54
80,iND750,208,1266,16.43
84,iPC815,312,1961,15.91
71,iJN746,166,1054,15.75
101,iYL1228,337,2262,14.9
3,iAF1260,352,2382,14.78
4,iAF1260b,352,2388,14.74
13,iAT_PLT_636,147,1008,14.58
69,iJN1463,425,2927,14.52
72,iJO1366,373,2583,14.44
30,iECABU_c1320,387,2731,14.17
22,iEC042_1314,384,2714,14.15
28,iEC1372_W3110,390,2758,14.14
79,iMM904,223,1577,14.14
25,iEC1356_Bl21DE3,387,2740,14.12
38,iECED1_1282,382,2706,14.12
108,STM_v1_0,359,2543,14.12
24,iEC1349_Crooks,389,2756,14.11
49,iECP_1309,386,2739,14.09
98,iUTI89_1310,384,2725,14.09
42,iECIAI39_1322,383,2721,14.08
96,iUMN146_1321,385,2735,14.08
47,iECOK1_1307,384,2729,14.07
16,ic_1306,383,2726,14.05
60,iETEC_1333,387,2756,14.04
27,iEC1368_DH5a,390,2779,14.03
21,iE2348C_1286,379,2703,14.02
43,iECNA114_1301,381,2718,14.02
54,iEcSMS35_1347,385,2746,14.02
14,iB21_1397,384,2741,14.01
31,iECB_1328,385,2748,14.01
32,iECBD_1354,385,2748,14.01
33,iECD_1391,384,2741,14.01
75,iLF82_1304,382,2726,14.01
51,iECS88_1305,382,2729,14
39,iECH74115_1262,377,2694,13.99
12,iAPECO1_1312,382,2735,13.97
15,iBWG_1329,383,2741,13.97
36,iECDH1ME8569_1439,385,2755,13.97
53,iECSF_1327,383,2742,13.97
83,iNRG857_1313,382,2735,13.97
35,iEcDH1_1363,384,2750,13.96
94,iSSON_1240,376,2693,13.96
40,iEcHS_1320,384,2753,13.95
48,iEcolC_1368,386,2768,13.95
100,iY75_1357,385,2759,13.95
55,iECSP_1301,378,2712,13.94
97,iUMNK88_1353,387,2777,13.94
26,iEC1364_W,385,2764,13.93
34,iECDH10B_1368,382,2742,13.93
56,iECUMN_1333,381,2740,13.91
61,iG2583_1286,376,2704,13.91
29,iEC55989_1330,383,2756,13.9
37,iEcE24377_1341,384,2763,13.9
50,iECs_1301,378,2720,13.9
92,iSFV_1184,364,2621,13.89
105,iZ_1308,378,2721,13.89
93,iSFxv_1172,366,2638,13.87
59,iEKO11_1354,385,2778,13.86
57,iECW_1372,385,2782,13.84
99,iWFL_1372,385,2782,13.84
41,iECIAI1_1343,382,2765,13.82
86,iS_1188,362,2619,13.82
90,iSDY_1059,351,2539,13.82
52,iECSE_1348,382,2768,13.8
91,iSF_1195,363,2630,13.8
46,iECO26_1355,382,2780,13.74
88,iSbBS512_1146,355,2591,13.7
1,e_coli_core,13,95,13.68
23,iEC1344_C,373,2726,13.68
44,iECO103_1326,375,2758,13.6
45,iECO111_1330,374,2760,13.55
89,iSBO_1134,351,2591,13.55
77,iML1515,365,2712,13.46
8,iAM_Pc455,144,1074,13.41
9,iAM_Pf480,145,1083,13.39
11,iAM_Pv461,144,1078,13.36
10,iAM_Pk459,144,1079,13.35
7,iAM_Pb448,142,1067,13.31
85,iRC1080,284,2168,13.1
103,iYS1720,379,3347,11.32
106,RECON1,356,3741,9.52
78,iMM1415,353,3726,9.47
18,iCHOv1_DG44,363,3942,9.21
107,Recon3D,971,10600,9.16
17,iCHOv1,545,6663,8.18
74,iLB1027_lipid,355,4455,7.97
