,id,name,lower_bound,upper_bound,stoichiometry,objective_coefficient
0,R_3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),,,"OrderedDict([('M_3hoctaACP_c', -1.0), ('M_h2o_c', 1.0), ('M_toctd2eACP_c', 1.0)])",0
1,R_3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),,,"OrderedDict([('M_3hcvac11eACP_c', -1.0), ('M_h2o_c', 1.0), ('M_t3c11vaceACP_c', 1.0)])",0
2,R_3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),,,"OrderedDict([('M_3haACP_c', -1.0), ('M_but2eACP_c', 1.0), ('M_h2o_c', 1.0)])",0
3,R_3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),,,"OrderedDict([('M_3hhexACP_c', -1.0), ('M_h2o_c', 1.0), ('M_thex2eACP_c', 1.0)])",0
4,R_3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),,,"OrderedDict([('M_3hoctACP_c', -1.0), ('M_h2o_c', 1.0), ('M_toct2eACP_c', 1.0)])",0
5,R_3KGK,3-keto-L-gulonate kinase,,,"OrderedDict([('M_3dhguln_c', -1.0), ('M_atp_c', -1.0), ('M_3dhgulnp_c', 1.0), ('M_adp_c', 1.0), ('M_h_c', 1.0)])",0
6,R_3NTD2pp,3'-nucleotidase (UMP) (periplasm),,,"OrderedDict([('M_3ump_p', -1.0), ('M_h2o_p', -1.0), ('M_pi_p', 1.0), ('M_uri_p', 1.0)])",0
7,R_3NTD4pp,3'-nucleotidase (CMP) (periplasm),,,"OrderedDict([('M_3cmp_p', -1.0), ('M_h2o_p', -1.0), ('M_cytd_p', 1.0), ('M_pi_p', 1.0)])",0
8,R_3NTD7pp,3'-nucleotidase (AMP) (periplasm),,,"OrderedDict([('M_3amp_p', -1.0), ('M_h2o_p', -1.0), ('M_adn_p', 1.0), ('M_pi_p', 1.0)])",0
9,R_3NTD9pp,3'-nucleotidase (GMP) (periplasm),,,"OrderedDict([('M_3gmp_p', -1.0), ('M_h2o_p', -1.0), ('M_gsn_p', 1.0), ('M_pi_p', 1.0)])",0
10,R_3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),,,"OrderedDict([('M_3odecACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hdecACP_c', 1.0), ('M_nadp_c', 1.0)])",0
11,R_3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),,,"OrderedDict([('M_3oddecACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hddecACP_c', 1.0), ('M_nadp_c', 1.0)])",0
12,R_3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),,,"OrderedDict([('M_3ocddec5eACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hcddec5eACP_c', 1.0), ('M_nadp_c', 1.0)])",0
13,R_3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),,,"OrderedDict([('M_3omrsACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hmrsACP_c', 1.0), ('M_nadp_c', 1.0)])",0
14,R_3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),,,"OrderedDict([('M_3ocmrs7eACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hcmrs7eACP_c', 1.0), ('M_nadp_c', 1.0)])",0
15,R_3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),,,"OrderedDict([('M_3opalmACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hpalmACP_c', 1.0), ('M_nadp_c', 1.0)])",0
16,R_3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),,,"OrderedDict([('M_3ocpalm9eACP_c', -1.0), ('M_h_c', -1.0), ('M_nadph_c', -1.0), ('M_3hcpalm9eACP_c', 1.0), ('M_nadp_c', 1.0)])",0
17,R_23CAMPtex,23cAMP transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_23camp_e', -1.0), ('M_23camp_p', 1.0)])",0
18,R_23CCMPtex,23cCMP transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_23ccmp_e', -1.0), ('M_23ccmp_p', 1.0)])",0
19,R_23CGMPtex,23cGMP transport via diffusion (extracellular to periplasm),,,"OrderedDict([('M_23cgmp_e', -1.0), ('M_23cgmp_p', 1.0)])",0
